Slug,Base,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
pytest,2023-02,36,30,124,54,25,32,30,31,57,58,127,101,89
basescript,2023-08,0,0,0,3,0,4,0,2,0,0,0,0,0
pixi-viewport,2023-04,7,19,2,14,14,5,0,0,0,0,6,2,2
gramaddict,2023-02,3,0,0,0,0,0,0,8,2,1,0,16,0
radareorg,2023-02,18,39,55,45,54,25,25,42,28,20,57,30,34
mcbedrock,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
webdriverio,2023-02,138,91,116,152,58,61,172,131,113,158,118,149,138
glpi-project,2023-08,96,124,81,89,128,106,53,99,89,77,60,67,45
creevey,2023-02,4,13,4,8,7,6,7,1,2,5,0,0,0
dlang,2023-02,5,2,24,4,6,9,9,0,9,6,13,3,3
weblate,2023-02,79,98,101,84,202,324,160,178,229,158,162,183,129
the-dead-bunny-collective,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
zigtools,2023-02,89,118,56,66,71,117,66,84,66,64,51,106,97
gonzo-engineering,2023-08,9,4,36,18,22,20,14,43,28,51,49,36,57
openbeta,2023-02,27,34,17,32,25,20,30,31,33,45,30,51,15
mingyaulee-gh,2023-10,0,0,0,0,17,8,19,1,0,53,47,6,38
sous-chefs,2023-02,0,1,0,0,8,0,53,32,52,32,4,4,0
phalcon,2023-02,19,72,84,93,69,86,16,47,27,23,12,23,20
odiff,2023-03,1,0,3,2,0,0,3,0,0,0,1,2,0
lesspass,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
chucker,2023-03,16,11,8,2,6,13,6,29,17,9,9,9,5
orthanc,2023-02,14,3,10,6,7,15,10,49,13,10,31,5,4
michijs,2023-08,43,25,23,36,9,6,3,16,24,15,12,0,0
pika-backup,2023-02,25,86,47,2,3,15,29,86,39,71,18,12,25
evershopcommerce,2023-08,34,42,54,18,60,41,49,32,60,35,27,30,9
keyviz,2023-03,2,0,0,22,11,9,13,10,5,20,39,5,11
world-class,2023-03,14,25,7,4,5,9,12,11,10,15,5,5,14
nonebot,2023-02,207,107,124,121,168,287,248,202,204,163,291,210,310
freesk8-os,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
ueransim,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
typeddjangoorg,2023-03,29,36,30,21,30,22,17,37,35,74,22,15,54
dyne,2023-08,7,17,18,29,62,7,77,0,83,29,78,59,26
veniqa,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
devhub,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
code-surfer,2023-04,0,0,0,0,0,0,0,1,0,0,0,0,0
nestia,2023-02,12,4,11,6,38,31,18,44,57,68,135,97,94
ant-design-landing,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
twohoursonelife,2023-02,0,23,18,48,17,0,25,19,1,51,24,22,64
pts,2023-08,9,14,58,30,32,9,3,28,19,13,42,12,20
mikado,2023-08,0,0,0,0,0,0,0,0,0,5,26,83,2
ngx-ui-scroll,2023-08,0,0,4,12,19,1,0,0,0,25,10,10,0
localstack,2023-02,128,89,76,68,86,87,103,153,96,96,99,108,147
saasfly,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
decap,2024-02,37,8,28,15,10,32,13,25,11,2,7,2,22
kaetram,2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
whisparr,2023-09,1,93,84,51,114,22,70,100,1,64,6,0,1
abap-observability-tools,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
cassowary,2023-02,0,0,0,0,1,0,0,0,0,0,0,0,0
ugit,2023-08,1,6,0,4,0,0,0,0,3,0,0,0,9
levilamina,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
smartcloudgg,2023-08,0,0,25,8,0,0,0,0,0,0,0,0,0
awesome-image-registration,2023-08,1,2,3,0,8,0,0,0,1,0,0,0,0
tinyfilemanager,2023-08,8,2,8,4,1,0,2,1,0,0,0,0,0
color-picker,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
book-project,2023-08,1,0,1,0,0,0,0,0,0,0,0,0,0
redux-saga,2023-02,8,0,0,0,5,0,4,3,1,0,0,0,1
qldependency,2023-08,0,0,0,0,0,0,0,0,0,1,0,15,0
clap,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
flybyw,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
design-tokens,2023-02,4,0,0,2,4,1,3,0,0,1,0,3,0
cspell,2023-02,266,154,159,158,125,196,235,197,89,64,137,171,154
orbitdb,2023-02,9,18,0,0,21,87,86,135,29,3,79,18,27
mapstruct,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
flatpak,2023-02,84,19,73,33,33,19,37,29,7,24,10,61,52
centrifugal,2024-01,2,0,0,0,0,0,0,0,0,0,0,0,2
idyll,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
dts-bundle-generator,2023-08,0,15,2,0,0,0,8,0,11,24,24,17,10
cryptpad,2023-02,7,22,2,30,35,64,0,0,4,54,6,8,51
serverest,2023-02,0,0,0,0,0,0,1,0,0,0,0,0,0
schrodinger-hat,2023-02,53,83,31,154,92,36,37,43,7,2,3,26,6
devstaff,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
openprivacytech,2023-08,1,4,2,1,1,0,1,0,0,0,0,0,0
kinsondigital,2023-08,117,73,150,18,78,10,34,18,21,25,20,24,6
compodoc,2023-02,6,2,1,0,1,6,3,0,1,55,1,1,16
rollup-plugin-styles,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
substitute-js,2024-02,0,0,0,0,0,0,0,3,0,0,0,0,0
jreleaser,2023-02,112,0,89,103,137,85,104,104,87,6,44,6,24
auto_dl,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
anonymousplanetorg,2023-08,5,8,19,0,34,24,15,0,0,0,0,0,0
zxingnet,2024-02,1,7,5,8,1,6,0,2,3,7,0,0,0
wildgums-oss,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
emojionearea,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
datarhei,2023-04,5,18,0,0,2,0,0,2,0,0,0,0,0
fody,2023-02,1,6,7,5,7,32,15,2,8,7,9,17,18
appium-device-farm,2023-08,22,15,6,5,4,1,13,38,22,34,31,25,35
ipfs-search,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
thorium-sim,2023-02,69,20,11,0,13,129,65,27,18,0,3,8,2
ngx-cookie-service,2023-08,1,0,0,1,4,1,8,2,6,50,13,7,2
mypy_boto3_builder,2023-08,10,89,2,0,3,66,61,19,23,49,37,14,8
opensourcedesign,2023-02,2,2,5,11,1,2,2,1,3,2,0,0,0
live-captioning-initiative,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
developersharif,2023-08,0,31,2,0,0,0,2,3,1,0,0,1,0
photoeditor,2023-08,7,0,2,2,0,3,0,0,0,0,0,0,2
flexsearch,2023-08,2,0,0,0,0,3,1,1,0,0,0,22,0
nvim-spotify,2023-08,0,1,0,0,0,0,0,0,0,0,0,0,0
rustmagazine,2023-10,6,17,1,15,4,0,0,0,0,0,0,0,0
kataw,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
y-collective,2023-02,12,2,10,6,9,24,3,27,8,21,9,0,10
react-three-fiber,2023-02,66,112,48,58,97,39,77,59,33,26,83,36,16
openstitching,2023-08,1,3,6,6,7,4,12,2,7,0,2,0,4
mellium,2023-08,3,0,0,0,1,1,11,0,0,0,0,0,0
oppr,2023-08,0,0,2,0,0,0,0,0,0,0,0,0,0
webster,2023-08,0,0,0,0,0,0,0,0,0,1,0,0,0
codeeditapp,2023-02,21,39,48,12,17,217,29,46,13,16,29,7,11
libreops,2023-02,0,0,1,1,1,1,0,0,0,1,0,0,0
webpack-merge,2023-06,0,0,0,0,0,4,0,0,0,0,7,0,0
attendize,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
visjs,2023-02,25,7,23,9,8,3,78,116,93,80,32,14,21
litiengine,2023-02,8,1,2,2,41,12,2,23,4,0,2,3,2
yuns,2023-08,0,0,0,0,0,71,28,2,1,0,0,0,0
robostack,2023-04,73,20,107,114,86,40,37,40,59,25,29,71,25
open-sustainable-technology,2023-08,21,10,48,33,47,54,35,134,149,81,210,129,18
macports,2023-08,2393,2177,2340,2258,2231,1826,2350,1960,2221,1915,2443,2456,2283
offline-plugin,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
hydephp,2023-08,3661,4556,255,30,4,0,0,0,337,476,79,11,497
nosqlclient,2023-08,0,0,0,0,0,0,1,0,0,0,0,0,0
