Slug,Base,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
pytest,2023-02,14,14,15,14,14,14,13,14,13,13,15,11,11
basescript,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
pixi-viewport,2023-04,0,0,0,0,0,0,1,0,0,0,0,0,0
gramaddict,2023-02,5,4,3,2,2,1,1,1,1,1,1,2,4
radareorg,2023-02,2,2,2,2,2,2,3,2,2,2,2,2,2
mcbedrock,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
webdriverio,2023-02,9,11,9,10,9,9,8,9,11,10,10,10,10
glpi-project,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
creevey,2023-02,1,1,1,1,1,1,1,1,1,0,0,0,0
dlang,2023-02,12,10,12,13,11,11,13,12,12,12,14,11,10
weblate,2023-02,2,3,2,2,2,1,1,1,1,2,1,4,3
the-dead-bunny-collective,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
zigtools,2023-02,0,1,0,1,5,3,3,3,5,3,2,2,3
gonzo-engineering,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
openbeta,2023-02,5,5,5,4,6,5,5,7,4,5,8,7,7
mingyaulee-gh,2023-10,0,0,0,0,0,0,1,0,0,0,0,0,0
sous-chefs,2023-02,9,6,6,5,4,4,5,5,5,5,5,5,5
phalcon,2023-02,13,11,10,10,12,12,11,11,13,12,11,12,12
odiff,2023-03,0,0,0,0,0,0,1,0,0,0,0,0,0
lesspass,2023-02,1,1,1,0,1,0,1,1,2,1,1,1,1
chucker,2023-03,1,1,1,1,1,0,1,2,1,0,1,2,1
orthanc,2023-02,11,11,11,11,11,13,13,12,13,12,16,12,15
michijs,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
pika-backup,2023-02,0,0,0,0,0,1,7,2,7,6,4,4,4
evershopcommerce,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
keyviz,2023-03,0,0,0,0,0,0,1,0,0,0,0,0,1
world-class,2023-03,1,1,1,1,1,0,1,2,1,0,1,2,1
nonebot,2023-02,1,2,1,1,1,1,1,1,1,3,1,1,1
freesk8-os,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
ueransim,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
typeddjangoorg,2023-03,0,0,0,0,1,0,1,1,1,1,1,1,1
dyne,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
veniqa,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
devhub,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
code-surfer,2023-04,1,1,1,1,0,0,1,0,1,1,1,1,1
nestia,2023-02,0,0,0,0,0,0,3,1,1,4,4,3,2
ant-design-landing,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
twohoursonelife,2023-02,12,15,16,14,14,19,21,19,25,27,27,24,28
pts,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
mikado,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
ngx-ui-scroll,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
localstack,2023-02,11,12,11,11,10,12,11,11,10,10,9,9,9
saasfly,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
decap,2024-02,0,0,0,0,0,0,1,1,0,0,2,1,1
kaetram,2023-10,0,0,0,0,0,0,1,0,0,0,0,0,0
whisparr,2023-09,0,0,0,0,0,0,7,2,2,4,3,4,6
abap-observability-tools,2023-02,1,1,1,1,1,1,1,1,0,0,0,0,0
cassowary,2023-02,1,1,1,1,1,2,1,2,1,2,2,1,1
ugit,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
levilamina,2023-09,0,0,0,0,0,0,2,0,0,0,3,1,1
smartcloudgg,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
awesome-image-registration,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
tinyfilemanager,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
color-picker,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
book-project,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
redux-saga,2023-02,16,16,17,17,17,16,15,16,15,15,14,14,12
qldependency,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
clap,2023-02,7,4,7,6,4,5,4,6,5,6,8,8,7
flybyw,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
design-tokens,2023-02,3,3,3,3,4,3,3,3,3,4,3,3,3
cspell,2023-02,0,0,0,0,0,0,2,1,1,1,1,1,0
orbitdb,2023-02,9,9,9,9,8,5,6,5,6,7,6,6,3
mapstruct,2023-09,0,0,0,0,0,0,2,0,2,2,2,1,1
flatpak,2023-02,50,49,51,49,47,50,45,46,44,38,39,38,38
centrifugal,2024-01,0,0,0,0,0,0,1,0,0,1,0,0,0
idyll,2023-02,1,1,1,1,1,1,1,1,1,1,1,1,1
dts-bundle-generator,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
cryptpad,2023-02,88,93,83,82,95,90,85,97,96,95,99,91,98
serverest,2023-02,18,18,18,16,16,15,15,14,12,12,13,12,14
schrodinger-hat,2023-02,0,0,0,9,0,9,2,13,2,2,0,0,0
devstaff,2023-02,0,0,0,2,0,0,6,2,0,0,0,0,0
openprivacytech,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
kinsondigital,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
compodoc,2023-02,6,7,3,5,3,3,3,3,3,3,3,3,2
rollup-plugin-styles,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
substitute-js,2024-02,0,0,0,0,0,0,1,0,0,0,0,0,0
jreleaser,2023-02,2,2,2,2,2,2,2,2,2,2,2,2,2
auto_dl,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
anonymousplanetorg,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
zxingnet,2024-02,0,0,0,0,0,0,1,0,0,0,0,0,0
wildgums-oss,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
emojionearea,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
datarhei,2023-04,0,0,0,0,0,0,2,0,0,0,0,0,0
fody,2023-02,61,62,61,61,63,62,62,63,63,65,61,60,59
appium-device-farm,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
ipfs-search,2023-02,1,1,1,1,2,1,1,1,1,3,4,4,6
thorium-sim,2023-02,2,2,2,2,1,1,1,1,2,2,2,2,1
ngx-cookie-service,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
mypy_boto3_builder,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
opensourcedesign,2023-02,24,21,20,17,20,19,19,20,20,19,19,18,15
live-captioning-initiative,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
developersharif,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
photoeditor,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
flexsearch,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
nvim-spotify,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
rustmagazine,2023-10,0,0,0,0,0,0,2,2,2,2,1,1,1
kataw,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
y-collective,2023-02,6,6,6,7,4,3,5,3,6,3,6,8,6
react-three-fiber,2023-02,13,15,15,16,15,13,12,13,16,13,13,11,10
openstitching,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
mellium,2023-08,0,0,0,0,0,0,1,0,1,1,1,1,1
oppr,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
webster,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
codeeditapp,2023-02,1,2,3,2,2,4,3,3,3,2,2,3,3
libreops,2023-02,12,12,11,29,18,18,18,19,19,20,16,16,13
webpack-merge,2023-06,0,0,0,0,0,0,1,0,0,0,0,0,0
